"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"HLA-DRA"	1.35514817127049e-67	-4.41553723805885	0.3	0.968	1.71737927745109e-63	"0"	"HLA-DRA"
"HLA-DRB1"	9.57584978711313e-60	-3.31007745273424	0.148	0.884	1.21354744352085e-55	"0"	"HLA-DRB1"
"CD74"	3.41536888527694e-51	-3.12210927636938	0.781	0.974	4.32829698831147e-47	"0"	"CD74"
"HLA-DPB1"	1.61311665211824e-46	-3.26989790339025	0.31	0.858	2.04430273322944e-42	"0"	"HLA-DPB1"
"IL32"	9.35713205296152e-44	3.27167076893281	0.808	0.11	1.18582934507181e-39	"0"	"IL32"
"HLA-DRB5"	2.82531608826026e-43	-2.74938874072264	0.084	0.684	3.58052307865223e-39	"0"	"HLA-DRB5"
"CD3D"	1.03466460936073e-42	3.14332578974322	0.771	0.084	1.31123045944286e-38	"0"	"CD3D"
"FTL"	5.71815619054791e-42	-3.06755589001709	0.983	1	7.24661934028136e-38	"0"	"FTL"
"HLA-DPA1"	4.29008050122525e-41	-2.94017062381154	0.266	0.813	5.43681901920276e-37	"0"	"HLA-DPA1"
"HLA-DMA"	1.45815899115962e-39	-2.34748937734144	0.051	0.6	1.84792488949658e-35	"0"	"HLA-DMA"
"LGALS2"	2.42135545875119e-37	-3.10383870315672	0.034	0.535	3.06858377287539e-33	"0"	"LGALS2"
"S100A9"	2.43379484690534e-37	-5.50931392900082	0.145	0.665	3.08434820948314e-33	"0"	"S100A9"
"S100A8"	1.1706269428511e-36	-4.96945170498585	0.074	0.587	1.4835355246752e-32	"0"	"S100A8"
"CD3E"	7.45481579723803e-36	2.41673950792804	0.731	0.09	9.44748805983975e-32	"0"	"CD3E"
"LST1"	1.21018894681119e-33	-3.21243529240271	0.131	0.619	1.53367245229382e-29	"0"	"LST1"
"FTH1"	4.97015935414832e-33	-2.46042533142914	0.99	0.994	6.29868294951216e-29	"0"	"FTH1"
"CST3"	6.16929256261065e-33	-3.86960930532423	0.192	0.665	7.81834446459647e-29	"0"	"CST3"
"LDHB"	3.03884838129205e-32	2.04338837462766	0.842	0.4	3.85113255361141e-28	"0"	"LDHB"
"LY86"	5.94064875438543e-32	-1.95729042630429	0.01	0.432	7.52858416643265e-28	"0"	"LY86"
"FCN1"	7.17546690420991e-32	-3.35514375071169	0.104	0.574	9.09346920770521e-28	"0"	"FCN1"
"HLA-DQA1"	2.88111450633134e-31	-3.05533999952805	0.037	0.477	3.6512364138737e-27	"0"	"HLA-DQA1"
"CFD"	4.36163540770862e-31	-2.42501169944162	0.054	0.51	5.52750055218913e-27	"0"	"CFD"
"GRN"	3.08916566206459e-30	-2.06815705372661	0.054	0.503	3.91489964353446e-26	"0"	"GRN"
"IFI30"	3.73936088966857e-30	-2.03550616985758	0.003	0.394	4.73889205547697e-26	"0"	"IFI30"
"HLA-DQB1"	4.57816993653546e-30	-2.66997011255968	0.054	0.503	5.80191476057139e-26	"0"	"HLA-DQB1"
"MS4A6A"	6.11805787065603e-30	-2.48323874193806	0.01	0.406	7.75341473948239e-26	"0"	"MS4A6A"
"SAT1"	8.69428440331242e-30	-2.0855985510381	0.418	0.845	1.10182666243178e-25	"0"	"SAT1"
"AP1S2"	1.42612247664023e-29	-2.15708466381556	0.101	0.574	1.80732501464616e-25	"0"	"AP1S2"
"OAZ1"	1.4293202714265e-29	-1.35995722154229	0.855	0.961	1.81137757997881e-25	"0"	"OAZ1"
"CD14"	1.70420923767065e-28	-2.1977604846238	0.017	0.406	2.15974436690002e-24	"0"	"CD14"
"TYMP"	2.37723178731076e-28	-2.63823452983138	0.158	0.6	3.01266584405893e-24	"0"	"TYMP"
"SPI1"	3.13582243426118e-28	-1.90229664774954	0.037	0.452	3.9740277709392e-24	"0"	"SPI1"
"TYROBP"	4.93930046426175e-28	-3.19353810092243	0.219	0.639	6.25957547835891e-24	"0"	"TYROBP"
"CYBA"	1.7428337901407e-27	-1.2990101737666	0.795	0.955	2.20869326224531e-23	"0"	"CYBA"
"CTSS"	1.98642640424956e-27	-2.18675652724051	0.32	0.729	2.51739818210546e-23	"0"	"CTSS"
"AIF1"	1.9914804117577e-27	-2.96373260795659	0.192	0.613	2.52380312582054e-23	"0"	"AIF1"
"FCER1G"	4.23304931583037e-27	-2.30101778530449	0.175	0.632	5.36454339795183e-23	"0"	"FCER1G"
"TKT"	9.1784246692621e-26	-1.87873583740912	0.148	0.594	1.16318175833559e-21	"0"	"TKT"
"LYZ"	1.15010490891653e-25	-4.67089566892092	0.512	0.768	1.45752795106992e-21	"0"	"LYZ"
"CD79A"	4.55726845425816e-25	-3.17056043883383	0.037	0.406	5.77542631208137e-21	"0"	"CD79A"
